source,citation
CS1_SWE,"@misc{CS1_SWE, author = {Krantz, Olle}, title = {Swedish Historical National Accounts 1300-2020}, url = {https://www.lusem.lu.se/economic-history/databases/economic-history-data/swedish-historical-national-accounts}, note = {Accessed: 2024-04-21} }"
CS1_TWN,"@misc{CS1_TWN, author = {{National Statistics, Republic of China (Taiwan)}}, title = {Taiwan's Statistical Bureau}, url = {https://eng.stat.gov.tw/ct.asp?xItem=37408&CtNode=5347&mp=8}, note = {Accessed: 2024-05-13} }"
CS1_USA,"@misc{CS1_USA, author = {{Federal Reserve Bank of St. Louis}}, title = {{Federal Reserve Economic Data}}, URL = {https://fred.stlouisfed.org/}, note = {Accessed: 2024-05-13}, year = {2024} }"
CS2_USA,"@book{CS2_USA, title = {Historical Statistics of the United States: Millennial Edition}, author = {Carter, Susan B and Gartner, Scott Sigmund and Haines, Michael R and Olmstead, Alan L and Sutch, Richard and Wright, Gavin and others}, volume = {3}, year = {2006}, publisher = {Cambridge University Press New York} }"
frydman2023banking,"@article{frydman2023banking, title={Banking Crises in Historical Perspective}, author={Frydman, Carola and Xu, Chenzi}, journal={Annual Review of Financial Economics}, volume={15}, number={1}, pages={265--290}, year={2023}, publisher={Annual Reviews} }"
cerra2008growth,"@article{cerra2008growth, title={Growth Dynamics: the Myth of Economic Recovery}, author={Cerra, Valerie and Saxena, Sweta Chaman}, journal={American Economic Review}, volume={98}, number={1}, pages={439--457}, year={2008}, publisher={American Economic Association} }"
SufiTaylor,"@techreport{SufiTaylor, title = ""Financial Crises: A Survey"", author = ""Sufi, Amir and Taylor, Alan M"", institution = ""National Bureau of Economic Research"", type = ""Working Paper"", series = ""Working Paper Series"", number = ""29155"", year = ""2021"", month = ""August"", doi = {10.3386/w29155}, URL = ""http://www.nber.org/papers/w29155"" }"
JKMS2024,"@techreport{JKMS2024, title={Two Centuries of Systemic Bank Runs}, author={Jamilov, Rustam and K{\""o}nig, Tobias and M{\""u}ller, Karsten and Saidi, Farzad}, year={2024} }"
bilal2024macroeconomic,"@techreport{bilal2024macroeconomic, title={The Macroeconomic Impact of Climate Change: Global vs. Local Temperature}, author={Bilal, Adrien and K{\""a}nzig, Diego R}, year={2024}, institution={National Bureau of Economic Research} }"
BVX2019,"@article{BVX2019, author = {Baron, Matthew and Verner, Emil and Xiong, Wei}, title = {{Banking Crises Without Panics}}, journal = {The Quarterly Journal of Economics}, volume = {136}, number = {1}, pages = {51-113}, year = {2020}, month = {10}, issn = {0033-5533}, doi = {10.1093/qje/qjaa034}, url = {https://doi.org/10.1093/qje/qjaa034}, eprint = {https://academic.oup.com/qje/article-pdf/136/1/51/35651150/qjaa034.pdf}, }"
