ISO3,countryname,year,HPI,BIS,DALLASFED,EUS,JST,OECD,CS1,CS2,chainlinking_ratio,source,source_change
BEL,Belgium,1909,.16150598,,,,.1468480169554982,,,,1.0998172,JST,
BEL,Belgium,1970,8.1936998,8.1937,,,7.450056482980611,7.73556427543346,,,1,BIS,
BEL,Belgium,1988,27.2978,27.2978,25.16466282221475,,24.70392776200152,24.321302378702,,,1,BIS,
BEL,Belgium,1996,45.132401,45.1324,42.42312410403805,,42.90405409698909,40.755802299937,,,1,BIS,
BEL,Belgium,2022,146.8927,146.8927,143.2093525177594,130.02,,134.193500000371,,,1,BIS,
BEL,Belgium,1931,1.4180369,,,,1.289338821258702,,,,1.0998172,JST,
BEL,Belgium,2000,55.3843,55.3843,53.04937943777397,,52.88087930170241,50.1145149653435,,,1,BIS,
BEL,Belgium,2017,116.9683,116.9683,112.8837452708083,104.48,114.6431835431323,106.37275,,,1,BIS,
BEL,Belgium,1892,.11857401,,,,.1078124681445429,,,,1.0998172,JST,
BEL,Belgium,1928,1.1027174,,,,1.002637050330782,,,,1.0998172,JST,
BEL,Belgium,1963,5.3627338,,,,4.876023483784585,,,,1.0998172,JST,
BEL,Belgium,1945,2.6739097,,,,2.431231017468759,,,,1.0998172,JST,
BEL,Belgium,2020,132.591,132.591,128.1974829325671,121.45,127.8159774262084,118.59525,,,1,BIS,
BEL,Belgium,2007,95.745003,95.745,91.98421493509301,87.7,91.77972710024663,85.81874999999999,,,1,BIS,
BEL,Belgium,2019,125.2436,125.2436,121.355590460087,115.37,122.6249967172811,113.77875,,,1,BIS,
BEL,Belgium,1997,46.536301,46.5363,44.28899025281655,,43.95676186110251,41.7370757718967,,,1,BIS,
BEL,Belgium,1993,40.392101,40.3921,37.56670825496575,,37.05201013651737,35.8677422810334,,,1,BIS,
BEL,Belgium,1933,1.1225375,,,,1.020658304503394,,,,1.0998172,JST,
BEL,Belgium,1992,37.428398,37.4284,34.92048448597095,,34.92329647680247,34.0571462665406,,,1,BIS,
BEL,Belgium,1983,21.127701,21.1277,19.7250453977826,,20.10634089685092,19.5229483301827,,,1,BIS,
BEL,Belgium,1982,21.652,21.652,20.08746422251018,,20.44640029165054,19.8451575299307,,,1,BIS,
BEL,Belgium,1980,22.7785,22.7785,21.4546393020444,,22.48508776292529,21.7784127284184,,,1,BIS,
BEL,Belgium,2023,150.9648,150.9648,143.4173234495659,134.55,,,,,1,BIS,
BEL,Belgium,2002,62.325699,62.3257,59.04274554826412,,58.65258309105371,55.9051268903592,,,1,BIS,
BEL,Belgium,1888,.13799562,,,,.125471406892356,,,,1.0998172,JST,
BEL,Belgium,1964,6.0925736,,,,5.5396243129387,,,,1.0998172,JST,
BEL,Belgium,1953,3.5153625,,,,3.196315171887836,,,,1.0998172,JST,
BEL,Belgium,1949,3.3063505,,,,3.006272855158473,,,,1.0998172,JST,
BEL,Belgium,1944,2.3694012,,,,2.154359021544082,,,,1.0998172,JST,
BEL,Belgium,1943,2.0090358,,,,1.826699854769317,,,,1.0998172,JST,
BEL,Belgium,1942,1.738762,,,,1.580955479688243,,,,1.0998172,JST,
BEL,Belgium,1941,1.3801986,,,,1.254934608747351,,,,1.0998172,JST,
BEL,Belgium,1937,.9513641,,,,.8650202002853804,,,,1.0998172,JST,
BEL,Belgium,1936,.98019326,,,,.8912329336273617,,,,1.0998172,JST,
BEL,Belgium,1934,.94956225,,,,.8633819044515065,,,,1.0998172,JST,
BEL,Belgium,1998,49.270401,49.2704,47.3921366274221,,46.84761826206587,44.3861479993699,,,1,BIS,
BEL,Belgium,1914,,,,,,,,,1.0998172,JST,
